ClientID,CreditScore,DebtToIncomeRatio,LoanAmount
1,698,0.050627666652329206,30062
2,365,0.8438566282179101,9782
3,774,0.7271065014097883,25196
4,822,0.6779028235393445,43338
5,367,0.5911682629141901,10514
6,402,0.9488478827253718,37660
7,694,0.8731088778697099,43886
8,635,0.7723745481904988,29114
9,693,0.989345983891799,3300
10,705,0.29927291353950847,22692
11,722,0.5643972821093991,1053
12,668,0.02216273827659021,42994
13,813,0.03983002628690202,3404
14,593,0.31813723127637217,28451
15,679,0.07477213128849713,23967
16,534,0.6735089843528267,19419
17,303,0.9376522789957409,44058
18,626,0.5112074279157168,30958
19,515,0.352252723468389,34025
20,508,0.04920533169101815,30998
21,731,0.8130933290740457,45324
22,386,0.8218223620448315,48208
23,485,0.4406921512099611,19056
24,475,0.5773963698595507,45412
25,728,0.9815841334788794,24067
26,780,0.8287741130771994,8771
27,751,0.9326412610073734,37580
28,710,0.42831139228531445,45004
29,306,0.136617292031316,8635
30,482,0.6952327782800897,44671
31,793,0.4994473619862747,8580
32,711,0.8045740790528899,30954
33,674,0.8549438998425093,46370
34,459,0.7819088787539087,38585
35,755,0.7507054922571861,9952
36,568,0.7377542110295767,35009
37,309,0.09861184643142096,6012
38,768,0.773781299194287,7283
39,605,0.7145090675625207,43574
40,461,0.9555846539283012,32791
41,638,0.9567809013015337,6431
42,417,0.9126523270905915,35521
43,377,0.762952088718625,8160
44,781,0.27332301787958524,21635
45,341,0.018248045643480704,30891
46,760,0.8111033998994632,38291
47,717,0.34560041663639396,40820
48,675,0.6101165805821733,9089
49,836,0.22652572314476016,44192
50,842,0.22035122100495597,34523
51,606,0.8103058476517678,29290
52,608,0.7606558424040287,12716
53,574,0.06272965585599499,15357
54,345,0.11164114400521497,37861
55,768,0.2145632874553527,41939
56,564,0.3453705327078017,42831
57,392,0.4964695003907279,5280
58,413,0.3738687844998322,46931
59,833,0.509345414183932,24322
60,327,0.3674483507078411,4835
61,587,0.9710405821473638,47719
62,364,0.3176928530959484,22985
63,561,0.260839024488843,35523
64,475,0.45104418407913216,8314
65,540,0.37472792603605176,38490
66,657,0.23589374762690274,49441
67,333,0.11559172171972121,7452
68,316,0.9848697028842148,29594
69,515,0.32818093935883075,17288
70,411,0.4960978937977246,9550
71,506,0.7067548986274024,36452
72,708,0.4105158835362662,22799
73,514,0.9256233554716536,10787
74,384,0.2687353454466468,40887
75,432,0.0491367925071009,24993
76,391,0.5612978249984976,37105
77,457,0.47756768414274,3933
78,665,0.8435419244729341,49591
79,535,0.9360003725096782,14816
80,705,0.5881107457505766,33053
81,488,0.3792351533428078,23504
82,789,0.16107839725055417,33195
83,552,0.8325585022120842,48228
84,815,0.9948955219967461,1444
85,708,0.4141913093742783,48102
86,612,0.19519855370179795,42636
87,782,0.1422624159279855,18639
88,602,0.7417489363895717,39462
89,608,0.9239266743327099,31489
90,402,0.7097583806054524,21000
91,458,0.5511846335629923,13297
92,750,0.20265032434072305,24884
93,606,0.12747659238741704,36799
94,368,0.043359528590869445,30507
95,741,0.34902963331890946,29578
96,342,0.30995380189918287,9691
97,402,0.6579924775297888,29394
98,798,0.4008283135030215,13089
99,622,0.8537312328731786,27778
100,746,0.3840035806678127,14960
101,436,0.5578624283051585,25136
102,684,0.7616886918639255,44202
103,584,0.32979935542621985,38866
104,732,0.8633221732579922,43176
105,323,0.8561173473384425,34168
106,743,0.7670721774930642,34263
107,342,0.41189761015283366,24411
108,687,0.38634744421412137,30011
109,531,0.12411891633259564,12387
110,626,0.06187750996419927,22659
111,848,0.8533856908456496,38355
112,732,0.9708732295850122,33595
113,673,0.8627806654065011,32522
114,342,0.8365038445664625,36218
115,644,0.3958952796125851,8520
116,501,0.6283650931477399,27200
117,407,0.41273387530854455,39675
118,655,0.2772945239874275,40090
119,731,0.9751918733550735,32634
120,451,0.2554666350026038,29446
121,489,0.8102614948195821,38077
122,829,0.009679057239287081,47383
123,577,0.985444120193563,23104
124,513,0.8981849183813134,34977
125,732,0.17194626888512032,47543
126,368,0.5685584059859399,3922
127,489,0.7626302064791205,35825
128,475,0.05037875749271259,35738
129,845,0.7615341945456547,6611
130,322,0.7011567241929575,40002
131,832,0.8979152515240196,5938
132,768,0.4320368183238241,43575
133,361,0.639994095477322,4538
134,733,0.49075864333341446,20933
135,657,0.7318822165852338,14042
136,358,0.019713596467363592,19135
137,713,0.297012638009988,32002
138,701,0.4419417669152702,5512
139,367,0.1278966026320355,19051
140,609,0.05486975201586508,17868
141,348,0.8304719982850486,29828
142,557,0.4646248054892007,24465
143,463,0.11551834298508601,22919
144,696,0.871996828159835,1808
145,783,0.6068164348909781,14773
146,424,0.8392231082006569,40560
147,435,0.030501784360055684,5523
148,413,0.7888832045149788,35831
149,385,0.43471133615520574,18845
150,702,0.6984674788939504,42014
151,632,0.8013181723296318,34727
152,762,0.4139957042685891,29628
153,715,0.9300364156701751,33701
154,392,0.09989056509805183,48828
155,668,0.2671357697506427,15116
156,633,0.4928746608147416,16231
157,540,0.4211570395811943,1048
158,389,0.694102470683303,28888
159,809,0.8714768278042955,38052
160,434,0.31574935473588217,28518
161,673,0.13258561757977838,31546
162,458,0.381096872010239,47854
163,498,0.21010712330779258,30865
164,827,0.9740069076019906,10045
165,792,0.4221575734422527,45758
166,660,0.01409909793261288,40537
167,525,0.57718871834648,10690
168,706,0.5444365722096715,12345
169,553,0.36913196255322034,10137
170,720,0.6534219685857094,22543
171,791,0.17032818516090742,14129
172,393,0.6258919476103654,29286
173,361,0.7133120279071282,3127
174,572,0.001027896213608881,28372
175,619,0.055164230327036434,6286
176,764,0.6600831219001153,3274
