ClientID,CreditScore,DebtToIncomeRatio,LoanAmount
1,523,0.23234723901031518,27674
2,546,0.4608809886736769,48462
3,505,0.11200390482121447,7063
4,755,0.46667433429982075,3271
5,679,0.36791655826598435,39051
6,465,0.26308215857829276,4266
7,522,0.9439480690819012,7311
8,324,0.17449354781058524,24363
9,659,0.8669806392541516,41958
10,569,0.5702041221089226,28088
11,480,0.61168874360737,18028
12,699,0.593571925997399,45050
13,408,0.13583107714381715,35544
14,546,0.7532444408831738,49967
15,623,0.6454567860717115,16484
16,659,0.2129148460969731,30355
17,763,0.3997749605490626,8343
18,818,0.198759857517952,24249
19,304,0.5902721701867853,2575
20,744,0.32148618932429907,41943
21,379,0.935338264847215,13556
22,610,0.32166658190037556,14286
23,339,0.04438310129240719,38655
24,436,0.5633741001297542,2018
25,441,0.8083317103536909,29938
26,523,0.5789996425376269,48108
27,767,0.3588420794570826,46343
28,836,0.5108949512473837,9399
29,598,0.332248944065729,24561
30,544,0.7763690161070486,17581
31,735,0.41803522198853826,42826
32,711,0.34804300153405565,26603
33,452,0.005994445013906002,20758
34,696,0.0956728397269867,43382
35,570,0.3304363651940275,23216
36,439,0.48275541520932974,49506
37,808,0.8617442018121322,6025
38,661,0.17132717792017516,29642
39,503,0.29794260735938005,14234
40,401,0.981085551888675,40691
41,362,0.15986123074369418,21021
42,753,0.26566183023920564,30278
43,394,0.9296233205653912,33266
44,732,0.9871516002406298,24472
45,357,0.36720650426339596,8928
46,301,0.2516319982463614,47402
47,654,0.48115603944830043,31632
48,761,0.4136508459098508,34375
49,497,0.8852370197549558,45574
50,646,0.8373636667559735,3006
51,548,0.16768655938018429,44636
52,586,0.24075813825813885,29840
53,849,0.18714446000006224,19811
54,309,0.31566155551771213,35446
55,775,0.8946675364858354,15233
56,522,0.2601253643055227,12394
57,806,0.989103807054819,40404
58,761,0.0539306162660822,1860
59,429,0.7039391409707805,4531
60,845,0.0682199480154706,17427
61,801,0.30949173060626456,24373
62,315,0.03543443499213761,43644
63,625,0.9505180426952979,22312
64,643,0.2105334976322878,8074
65,320,0.08546113113798737,25927
66,693,0.1815526504986621,48115
67,795,0.7744571446346497,9361
68,639,0.15146845046320123,45954
69,467,0.1838318092969684,34823
70,414,0.7117277268729535,3115
71,420,0.027065085611090667,34911
72,356,0.22877541597224027,35000
73,673,0.3491062397628524,35848
74,497,0.5108034638016036,35992
75,506,0.8270179618301664,10744
76,543,0.5801836100395265,31975
77,569,0.2991114760456757,15944
78,451,0.3321636100125308,19493
79,799,0.5267877047788764,12744
80,379,0.3770644345546289,3173
81,586,0.5063338869696463,35322
82,794,0.5981928360135759,37940
83,444,0.6461386827619869,2550
84,712,0.7007105581536436,47571
85,835,0.28812067753950177,13542
86,635,0.6819222911812427,43520
87,479,0.4017321134526477,7409
88,814,0.8306515531176398,26180
89,481,0.89311605320948,43847
90,735,0.052988025606706124,3337
91,417,0.8211072775387139,42880
92,333,0.5343742000320185,9104
93,590,0.318608625525062,33579
94,755,0.06895924259256192,45460
95,488,0.31098667426149296,48372
96,552,0.20489383693337193,27464
97,835,0.9901948742537764,5547
98,594,0.9628472259644811,25969
99,682,0.059616072810680376,23465
100,544,0.6890202046528874,23316
